學生姓名      號碼  性別
-------------------------
Walter         33    F
Adrian         19    M
Kieran         35    M
Charles        30    F
Willy          10    F
Connor         15    M
Alex           9     M
Alvin          32    M
Andrew         36    M
Mickey         50    M
Dylan          29    M
Gavin          31    M
Joseph         42    M
Ryan           27    M
Sebastian      8     F
Matthew        48    M
Jeremiah       14    M
Roy            17    F
Clyde          46    F
Eric           43    F
Pete           37    M
Dakota         20    F
Aaron          25    F
Leland         7     F
Johnny         11    M
Garrett        2     M
Christopher    16    M
Cameron        3     M
Jeremiah       23    F
Carlos         22    M
Cole           40    F
Eduardo        21    F
Clyde          6     M
Jaime          47    M
Larry          49    M
Carson         45    M
Seth           18    M
Pete           13    F
Jared          24    F
Anthony        39    F
Michael        4     F
Cole           28    M
Thomas         12    M
Patrick        5     M
Ian            34    M
Anthony        44    F
Larry          1     F
William        38    M
Jensen         26    F
Cameron        41    M
